Filename	Artist	Title	Chart Date	Peak Position	Weeks on Chart	Target Rank	Actual Rank	Sample ID#
PetShopBoys_WhereTheStreetsHaveNoName_1991	Pet Shop Boys	Where The Streets Have No Name	1991/06/08, 1991/06/29	72, 72	7, 7	76, 84	76, 83	382, 1300
AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	1966/12/10	2	14	52	51	691
ABBA_Chiquitita_1979	ABBA	Chiquitita	1979/12/15	29	12	34	35	183
ABBA_Fernando_1976	ABBA	Fernando	1976/10/09	13	16	26	24	218
ABBA_HoneyHoney_1974	ABBA	Honey, Honey	1974/09/21	27	10	73	72	902
ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You	1977/07/02	14	15	23	24	231
ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	1981/07/04	90	6	91	91	894
ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	1978/05/06	3	18	32	30	961
Aerosmith_LastChild_1976	Aerosmith	Last Child	1976/08/07	21	15	21	21	15
Alabama_TakeMeDown_1982	Alabama	Take Me Down	1982/07/17	18	13	19	18	1082
AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	1977/08/27	1	25	31	31	367
AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms)	1975/07/19	48	6	59	59	573
AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	1991/07/27	78	5	99	99	599
AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	1972/07/29	7	13	8	7	195
AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	1978/09/30, 1978/09/02	1, 1	25, 25	96, 52	96, 50	193, 737
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	1987/03/21, 1987/02/28	37, 37	18, 18	85, 56	85, 56	647, 709
AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	1989/01/21	3	22	27	27	578
AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	1986/09/13	8	22	37	35	837
AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	1980/10/11	33	14	40	41	199
AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	1980/04/12, 1980/01/05	12, 12	17, 17	69, 56	69, 56	312, 475
AnneMurray_LoveSong_1974	Anne Murray	Love Song	1974/01/05	12	17	62	60	917
AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	1973/09/22	38	21	68	70	377
ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	1967/12/23	2	12	16	17	418
ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	1967/05/13	9	11	32	32	403
