Filename	Artist	Title	Prexisting data?	Transcriber	Transcription Date	Comments	ChangesToMcGillTranscription
ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	_	_	_	_	_
AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	midi	_	_	_	_
ABBA_Chiquitita_1979	ABBA	Chiquitita	midi	Hubert Leveille Gauvin	2/20/16	The MCGill transcription isn't very good for the instrumental intro, but things line up properly when the voice comes in.	_
ABBA_Fernando_1976	ABBA	Fernando	midi	_	_	_	_
ABBA_HoneyHoney_1974	ABBA	Honey, Honey 	midi	Claire Arthur	3/27/16	_	_
ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You 	midi	_	_	_	_
ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	_	_	_	_	_
ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	midi	_	_	_	_
Aerosmith_LastChild_1976	Aerosmith	Last Child	_	_	_	_	_
AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms) 	_	Jonathan Eldridge	5/17/20	"Like you'd expect, Al scoops into many notes (marked with glisses) The absolute gentlest of swings on the 16th Generally I'm omitting harmony or ""comping"" vocals from these transcriptions, just the ones that have lyrics or melody Ad lib at mm 47 is slightly ahead of where I placed it "	_
Alabama_TakeMeDown_1982	Alabama	Take Me Down	_	_	_	_	_
AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	midi	_	_	_	_
AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	_	_	_	_	_
AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	midi	Nat Condit-Schultz	1/27/17	The McGill transcription is clearly of the wrong track---I believe it's the album version of the song. It has the key as D#m, when the true key is Em. Their harmonic interpretation of the main riff is also bizzare. Also, the verse section isn't labelled as such and the single version is much shorter. Modulation to Gm in chorus, but hard to say where modulation occurs.	Made extensive changes, both to match singe version of track (not album version) but also some interpretive changes regarding pedal tones.
AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	_	Jonathan Eldridge	4/24/20	Slight swing on the 16th	Added prominent harmonic syncopation in the intro and interlude.
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	_	Jonathan Eldridge	5/9/20	"Big scoops up into phrases (over many pitches) marked with glissandos On the chorus, there are some sharp slides between notes, which I marked with the 32nd dotted 16th fig. with gliss that you'll see a lot; I differentiated them from graces because they're in time in a strange way, and much sharper than a grace Coming off a note the pitch, the ending syllable is sometimes a different pitch, and in these cases I used an x-head grace; sometimes Anita ""ghost sings"" lines and these audible releases are the only way to tell when she actually stops singing"	"Added prominent harmonic syncopation in into/interlude. Renamed ""chorus->prechorus"" and ""bridge->chorus."" Cut off last 16-measures (the single version is shorter)."
AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	_	_	_	_	_
AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	midi	Nat Condit-Schultz	8/2/16	_	Added key changes
AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	_	_	_	_	_
AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	midi	Hubert Leveille Gauvin; Nat Condit-Schultz	2016-06-22; 2019-10-15	I think that the McGill data is based on the 1997 live version, which is much longer and a tone higher, rather than based on the actual hot 100 single. I transcribed the single version.	I've fixed the harmonic transcription to match the single version (like it's suppose to), but haven't reall listened through it to make sure it is correct (i.e., the chords are all the same).
AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	_	_	_	_	_
AnneMurray_LoveSong_1974	Anne Murray	Love Song	midi	Hubert Leveille Gauvin	5/18/17	The McGill file is ok up to m. 66. But then it seems to be missing a whole section, as it goes directly into the outro. Maybe it was transcribed from a radio edit version? My transcriptions matches the McGill file. (I've started to update the melodic transcription to the correct length. Still need to do the harmonic transcription, and make corrections to the melodic transcription. -Nat)	_
ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	midi	_	_	_	_
ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	_	_	_	_	_
ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	midi	_	_	_	_
ArthurConley_SweetSoulMusic_1967	Arthur Conley	Sweet Soul Music	_	_	_	_	_
BBKing_HowBlueCanYouGet_1964	B.B. King	How Blue Can You Get	midi	_	_	_	_
BBKing_TheThrillIsGone_1970	B.B. King	The Thrill Is Gone	midi	_	_	_	_
BJThomas_HookedOnAFeeling_1968	B.J. Thomas	Hooked On A Feeling	midi	_	_	_	_
BachmanTurnerOverdrive_Heartaches_1979	Bachman-Turner Overdrive	Heartaches	_	_	_	_	_
BachmanTurnerOverdrive_RollOnDownTheHighway_1975	Bachman-Turner Overdrive	Roll On Down The Highway	_	Nat Condit-Schultz	8/25/16	_	_
BadCompany_RockNRollFantasy_1979	Bad Company	Rock 'N' Roll Fantasy	midi	_	_	_	_
Badfinger_MaybeTomorrow_1969	Badfinger	Maybe Tomorrow	_	_	_	_	_
Baltimora_TarzanBoy_1986	Baltimora	Tarzan Boy (from the film Teenage Mutant Ninja Turtles III)	_	_	_	_	_
Bananarama_ATrickOfTheNight_1987	Bananarama	A Trick Of The Night	_	_	_	_	_
Bananarama_Venus_1986	Bananarama	Venus	midi	Lissa Reed	1/25/16	Two instances of male vocal interjections. Indicated in lyrics with (pa-ren-the-ses)_ Is this ok?	_
BarbaraLewis_HelloStranger_1963	Barbara Lewis	Hello Stranger	midi	_	_	_	_
BarbraStreisand_FunnyGirl_1964	Barbra Streisand	Funny Girl	_	_	_	_	_
BarbraStreisand_People_1964	Barbra Streisand	People	_	_	_	_	_
BarryWhite_YoureTheFirstTheLastMyEverything_1974	Barry White	You're The First, The Last, My Everything 	_	_	_	_	_
BayCityRollers_SaturdayNight_1975	Bay City Rollers	Saturday Night	_	_	_	_	_
BeastieBoys_BrassMonkey_1987	Beastie Boys	Brass Monkey	_	_	_	_	_
BenEKing_Amor_1961	Ben E. King	Amor	_	_	_	_	_
BerthaTillman_OhMyAngel_1962	Bertha Tillman	Oh My Angel	_	_	_	_	_
BetteMidler_TheRose_1980	Bette Midler	The Rose	midi	_	_	_	_
BillWithers_AintNoSunshine_1971	Bill Withers	Ain't No Sunshine	midi	_	_	_	_
BillWithers_LovelyDay_1978	Bill Withers	Lovely Day	midi	_	_	_	_
BillyIdol_CatchMyFall_1985	Billy Idol	Catch My Fall	midi	_	_	_	_
BillyIdol_FleshForFantasy_1984	Billy Idol	Flesh For Fantasy	midi	_	_	_	_
BillyIdol_HotInTheCity_1982	Billy Idol	Hot In The City	midi	_	_	_	_
BillyIdol_RebelYell_1984	Billy Idol	Rebel Yell	midi	Nat Condit-Schultz	8/18/16	_	Harmonic rhythm needs to be changed in the chorus section
BillyIdol_WhiteWedding_1983	Billy Idol	White Wedding	midi	Nat Condit-Schultz	8/9/16	_	_
BillyJoel_AnInnocentMan_1984	Billy Joel	An Innocent Man	midi	_	_	_	_
BillyJoel_DontAskMeWhy_1980	Billy Joel	Don't Ask Me Why	midi	Jonathan Eldridge	5/18/20	Nothing weird here. The clave threw me initially but the song is more Brazilian so the tempo that the harm. Trans. put it in makes sense	The song ends on beat 3; the McGill transcriber added a measure of 2/4 so it ends on 1 for no reason. I've changed this. Nat (Oct 2020)
BillyJoel_JustTheWayYouAre_1978	Billy Joel	Just The Way You Are	midi	_	_	_	_
BillyJoel_Pressure_1983	Billy Joel	Pressure	midi	_	_	_	_
BillyPreston_WithYouImBornAgain_1979	Billy Preston	With You I'm Born Again	_	_	_	_	_
BillySquier_DontSayYouLoveMe_1989	Billy Squier	Don't Say You Love Me	_	_	_	_	_
BillySquier_MyKindaLover_1982	Billy Squier	My Kinda Lover	_	_	_	_	_
BillySquier_TheStroke_1981	Billy Squier	The Stroke	_	Nat Condit-Schultz	2/23/17	_	Original transcription is written in augmentation (for some reason) and has excess measures at the beginning. Other elements of the chord progressions are also wrong.
BillySwan_ICanHelp_1974	Billy Swan	I Can Help	_	_	_	_	_
BingCrosby_SilentNight_1960	Bing Crosby	Silent Night	midi	Dana DeVlieger	1/20/16	_	_
BingCrosby_WhiteChristmas_1962	Bing Crosby	White Christmas	midi	Jonathan Eldridge	1/14/20	Easy swing feel to many approximate rhythms Bing does many scoops and some of his lower pitches are so low as to be indefinite, almost spoken Rubato at times	The McGill version mistakes syncopated chords in the beginning for the down beat, so they have a measure of 3/4. I've changed it to 4/4 but we still need to fix the chords...which aren't quite right. - In fact, the chords in this song are way too detailed---grabbing every passing chord, etc.
BizMarkie_JustAFriend_1990	Biz Markie	Just A Friend	_	Jonathan Eldridge	6/1/20	_	Cut a few measures off the end.
Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls	_	_	_	_	_
Blondie_OneWayOrAnother_1979	Blondie	One Way Or Another	midi	Hubert Leveille Gauvin	2/25/16	_	_
BlueCheer_SummertimeBlues_1968	Blue Cheer	Summertime Blues	midi	_	_	_	_
BoDiddley_YouCantJudgeABookByTheCover_1962	Bo Diddley	You Can't Judge A Book By The Cover	_	_	_	_	_
BobDylan_GottaServeSomebody_1979	Bob Dylan	Gotta Serve Somebody	_	_	_	_	_
BobSeger_AgainstTheWind_1980	Bob Seger	Against The Wind	midi	_	_	_	_
