"Song Title:","Number of Kern/Silbe Pairs","Voice #1 Classification","Voice #2 Classification","Voice #3 Classification","Voice #4 Classification","Voice #5 Classification",Notes:,"# of Intro","# of Preverse","# of Verse","# of Trans","# of Prechorus","# of Chorus","# of Refrain","# of Bridge","# of Interlude","# of Instrumental","# of Solo","# of Outro","# of Fadeout","# of Coda","# of Theme","# of Modulation"
ABBA_Chiquitita_1979.hum,1,Lead,,,,,"Missing formal label for A",,,3,,,2,,,,,,1,1,,,
ABBA_HoneyHoney_1974.hum,1,Lead,,,,,"Should have at least 1 more voice for C&R (maybe + another for male vs female lead)",1,,8,,,,,2,,,,,,,,
AlGreen_OhMeOhMy_1975.hum,2,Lead,Backing/Harmonize,,,,,1,,1,,,2,,,,1,,1,,,,
AliceCooper_SchoolsOut_1972.hum,2,Lead,Harmonize,,,,,1,,2,,1,3,,2,1,,1,,,,,
AndyGibb_ShadowDancing_1978.hum,2,Lead,"Call & Response",,,,,1,,2,,3,6,,,1,,,,1,,,
AnitaBaker_CaughtUpInTheRapture_1987.hum,1,Lead,,,,,,1,,2,,3,2,,,1,,1,,,,,
AnitaBaker_SweetLove_1986.hum,1,Lead,,,,,,1,,3,,,3,,1,,,1,,1,,,
AnneMurray_CouldIHaveThisDance_1980.hum,1,Lead,,,,,,1,,2,2,,3,,,,,,,,1,,
AnneMurray_LoveSong_1974.hum,1,Lead,,,,,,,,2,,,3,,,1,,,,,,,
BachmanTurnerOverdrive_RollOnDownTheHighway_1975.hum,1,Lead,,,,,,1,,2,,,4,,,3,,3,1,,,,
Bananarama_Venus_1986.hum,1,Lead,,,,,""".kern.hum"" file exists for this song. When I try to open it, it says 0 lines, 0 bytes. Trash?",1,,3,4,,4,,,,,1,1,1,,,
BillyIdol_RebelYell_1984.hum,1,Lead,,,,,,1,,2,4,,3,,1,2,,2,1,,,,
BillyIdol_WhiteWedding_1983.hum,2,Lead,"Call & Response",,,,,1,,4,,,,,,1,,,,1,,,
BillyJoel_DontAskMeWhy_1980.hum,2,Lead,Backing/Harmonize,,,,,1,,4,,,4,,1,,,1,1,,,,
BillySquier_TheStroke_1981.hum,1,"Lead/Call & Response",,,,,,1,,4,3,,4,,,1,,,,,,,
BingCrosby_SilentNight_1960.hum,1,Lead,,,,,,1,,2,,,,,,,,,,,,,
BingCrosby_WhiteChristmas_1962.hum,3,Lead,"Harmonize (Male choir?)","Harmonize (Femail choir?)",,,"I'm having a hard time determining the difference between silbe 2&3",1,,,,,,,,,,,,,,4,
BizMarkie_JustAFriend_1990.hum,1,Lead,,,,,,,,3,,,2,,,,,,,1,,,
Blondie_OneWayOrAnother_1979.hum,1,Lead,,,,,,1,,3,,,2,,,,,1,1,1,,,
BobSeger_LikeARock_1986.hum,1,Lead,Backing/Harmonize,,,,,1,,5,,,3,,1,1,,1,1,,,,
BrendaLee_SweetNothins_1960.hum,1,Lead,"Backing/Riffing ",,,,,1,,3,,,,,,,1,,,,,,
BruceChannel_HeyBaby_1962.hum,1,Lead,,,,,,1,,1,,,5,,2,,,,,1,,,
BruceSpringsteen_ImGoinDown_1985.hum,1,Lead,,,,,,1,,3,,,5,,,,,2,,1,,,
BruceSpringsteen_MyHometown_1985.hum,1,Lead,,,,,,1,,3,3,,3,,1,,1,,,1,,,
CheapTrick_DreamPolice_1979.hum,1,Lead,Harmonize,,,,,1,,2,,3,2,,1,1,,1,,1,,,
Chicago_25Or6To4_1970.hum,1,Lead,Harmonize,,,,,1,,3,,,3,,,1,1,,1,,,,
Chicago_DoesAnybodyReallyKnowWhatTimeItIs_1970.hum,2,Lead,Harmonize,,,,,2,,3,,,4,,5,,1,,1,,,,
Chicago_FeelinStrongerEveryDay_1973.hum,2,Lead,Backing/Harmonize,,,,"I believe the lyrics currently listed as ""(vocalizing)"" for voice 1 are ""Y'know I'm alright now""",1,,2,,,2,,1,1,,,1,1,,,
ChubbyChecker_TheTwist_1962.hum,1,Lead,"Backing ",,,,,1,,3,,,4,,,,,1,,,,,
ChuckBerry_AlmostGrown_1959.hum,2,Lead,Backing,,,,,1,,4,,,,,,,,3,,,,,
ChuckBerry_ReelinAndRockin_1972.hum,1,Lead,,,,,,1,,12,,,,,,,,,,,,,
CliffRichard_LivingDoll_1959.hum,1,Lead,,,,,,1,,,,,3,,2,,,1,,,,,
CliffRichard_WeDontTalkAnymore_1979.hum,3,Lead,Harmonize,"Harmonize (Falsetto)",,,,1,,3,,2,2,,2,2,,,1,,,,
