Corpus	Filename	Artist	Title	Year	Melody	Harmony	Lyrics
Billboard	ABBA_Chiquitita_1979	ABBA	Chiquitita	1979	TRUE	TRUE	TRUE
Billboard	ABBA_Fernando_1976	ABBA	Fernando	1976	FALSE	TRUE	FALSE
Billboard	ABBA_HoneyHoney_1974	ABBA	Honey, Honey	1974	TRUE	TRUE	TRUE
Billboard	ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You	1977	FALSE	TRUE	FALSE
Billboard	ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	1981	FALSE	TRUE	FALSE
Billboard	ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	1978	FALSE	TRUE	FALSE
Billboard	ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	1981	FALSE	TRUE	FALSE
Billboard	AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	1966	FALSE	TRUE	FALSE
Billboard	Aerosmith_LastChild_1976	Aerosmith	Last Child	1976	FALSE	TRUE	FALSE
Billboard	AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms)	1975	TRUE	TRUE	TRUE
Billboard	Alabama_TakeMeDown_1982	Alabama	Take Me Down	1982	FALSE	TRUE	FALSE
Billboard	AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	1977	FALSE	TRUE	FALSE
Billboard	AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	1991	FALSE	TRUE	FALSE
Billboard	AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	1972	TRUE	TRUE	TRUE
Billboard	AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	1978	TRUE	TRUE	TRUE
Billboard	AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	1987	TRUE	TRUE	TRUE
Billboard	AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	1989	FALSE	TRUE	FALSE
Billboard	AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	1986	TRUE	TRUE	TRUE
Billboard	AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	1973	FALSE	TRUE	FALSE
Billboard	AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	1980	TRUE	TRUE	TRUE
Billboard	AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	1980	FALSE	TRUE	FALSE
Billboard	AnneMurray_LoveSong_1974	Anne Murray	Love Song	1974	TRUE	TRUE	TRUE
Billboard	ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	1967	FALSE	TRUE	FALSE
Billboard	ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	1967	FALSE	TRUE	FALSE
Billboard	ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	1972	FALSE	TRUE	FALSE
