filename	!!!Rolling Stone List Rank:	!!!OTL:	!!!COC:	!!!RRD:	!!!In original RS 5x20 subset	YoutubeLink
the_dock_of_the_bay	28	(Sittin' on) the Dock of the Bay	Otis Redding	1968	*	https://www.youtube.com/watch?v=rTVjnBo96Ug
rock_around_the_clock	158	(We're Gonna) Rock Around the Clock	Bill Haley and His Comets	1954		https://www.youtube.com/watch?v=ZgdufzXvjqw
1999	212	1999	Prince	1982	*	https://www.youtube.com/watch?v=rblt2EtFfC4
a_change_is_gonna_come	12	A Change Is Gonna Come	Sam Cooke	1964	*	https://www.youtube.com/watch?v=wEBlaMOmKV4
a_day_in_the_life	26	A Day in the Life	The Beatles	1967	*	https://www.youtube.com/watch?v=usNsCeOV4GM
a_hard_days_night	153	A Hard Day's Night	The Beatles	1964		https://www.youtube.com/watch?v=Yjyj8qnqkYI
a_whiter_shade_of_pale	57	A Whiter Shade of Pale	Procol Harum	1967		https://www.youtube.com/watch?v=_BADDeIQWVQ
all_along_the_watchtower	48	All Along the Watchtower	The Jimi Hendrix Experience	1968		https://www.youtube.com/watch?v=TLV4_xaYynY
all_apologies	455	All Apologies	Nirvana	1993	*	https://www.youtube.com/watch?v=fUYXpnl-dKw
all_i_have_to_do_is_dream	141	All I Have to Do Is Dream	The Everly Brothers	1958		https://www.youtube.com/watch?v=tbU3zdAgiX8
anarchy_in_the_uk	53	Anarchy in the U.K.	Sex Pistols	1977	*	https://www.youtube.com/watch?v=cBojbjoMttI
back_in_black	187	Back in Black	AC/DC	1980	*	https://www.youtube.com/watch?v=pAgnJDJN4VA
be_my_baby	22	Be My Baby	The Ronettes	1963	*	https://www.youtube.com/watch?v=NnWOBMQhNBQ
be-bop-a-lula	102	Be-Bop-A-Lula	Gene Vincent	1956		https://www.youtube.com/watch?v=ZWFlLYZm0tA
billie_jean	58	Billie Jean	Michael Jackson	1983	*	https://www.youtube.com/watch?v=kM5ywtImaSs
bitter_sweet_symphony	382	Bitter Sweet Symphony	The Verve	1997	*	https://www.youtube.com/watch?v=1lyu1KKwC74
bizarre_love_triangle	201	Bizarre Love Triangle	New Order	1986	*	https://www.youtube.com/watch?v=tkOr12AQpnU
blitzkrieg_bop	92	Blitzkrieg Bop	The Ramones	1976	*	https://www.youtube.com/watch?v=nKyFpJ3M1xM
blowin_in_the_wind	14	Blowin' in the Wind	Bob Dylan	1963	*	https://www.youtube.com/watch?v=vWwgrjjIMXA
blue_suede_shoes	95	Blue Suede Shoes	Carl Perkins	1956	*	https://www.youtube.com/watch?v=DRNyvO4QouY
blueberry_hill	81	Blueberry Hill	Fats Domino	1956	*	https://www.youtube.com/watch?v=Pm4l43exh2M
bo_diddley	62	Bo Diddley	Bo Diddley	1955	*	https://www.youtube.com/watch?v=dLcYuuljrD4
bohemian_rhapsody	163	Bohemian Rhapsody	Queen	1975		https://www.youtube.com/watch?v=M-9ERM0Jr4U
born_to_be_wild	129	Born To Be Wild	Steppenwolf	1968		https://www.youtube.com/watch?v=mLhpXUtxS1c
born_to_run	21	Born to Run	Bruce Springsteen	1975	*	https://www.youtube.com/watch?v=IxuThNgl3YA
both_sides_now	170	Both Sides Now	Joni Mitchell	1969		https://www.youtube.com/watch?v=Pbn6a0AFfnM
bridge_over_troubled_water	47	Bridge over Troubled Water	Simon and Garfunkel	1970	*	https://www.youtube.com/watch?v=4G-YQA_bsOU
bring_the_noise	160	Bring the Noise	Public Enemy	1988	*	https://www.youtube.com/watch?v=l_Jeyif7bB4
brown_eyed_girl	109	Brown Eyed Girl	Van Morrison	1967		https://www.youtube.com/watch?v=UfmkgQRmmeE
california_dreamin	89	California Dreamin'	The Mamas & the Papas	1965		https://www.youtube.com/watch?v=N-aK6JnyFmk
california_girls	71	California Girls	The Beach Boys	1965		https://www.youtube.com/watch?v=7oRb9-mypxg
california_love	346	California Love	Dr. Dre and 2Pac	1996	*	https://www.youtube.com/watch?v=omfz62qu_Bc
cathys_clown	149	Cathy's Clown	The Everly Brothers	1960		https://www.youtube.com/watch?v=p_fkzaAEbQg
changes	127	Changes	David Bowie	1971		https://www.youtube.com/watch?v=ocB46f2FqJE
come_as_you_are	445	Come As You Are	Nirvana	1991	*	https://www.youtube.com/watch?v=vabnZ9-ex7o
crazy	85	Crazy	Patsy Cline	1961		https://www.youtube.com/watch?v=MbnrdCS57d0
crying	69	Crying	Roy Orbison	1961		https://www.youtube.com/watch?v=7KgcgxNQ05g
da_doo_ron_ron	114	Da Doo Ron Ron	The Crystals	1963		https://www.youtube.com/watch?v=v-qqi7-Q19k
dancing_in_the_street	40	Dancing in the Street	Martha and the Vandellas	1964		https://www.youtube.com/watch?v=68Uv959QuCg
dancing_queen	171	Dancing Queen	Abba	1976		https://www.youtube.com/watch?v=XN9lgrT8eVc
dont_worry_baby	176	Don't Worry Baby	The Beach Boys	1964		https://www.youtube.com/watch?v=SvZHoF0A9WQ
dream_on	172	Dream On	Aerosmith	1973		https://www.youtube.com/watch?v=Pj5kNX2h8Qg
earth_angel	151	Earth Angel	The Penguins	1954		https://www.youtube.com/watch?v=VJcGi4-n_Yw
eight_miles_high	150	Eight Miles High	The Byrds	1966		https://www.youtube.com/watch?v=J74ttSR8lEg
eleanor_rigby	137	Eleanor Rigby	The Beatles	1966		https://www.youtube.com/watch?v=HuS5NuXRb5Y
enter_sandman	399	Enter Sandman	Metallica	1991	*	https://www.youtube.com/watch?v=_W7wqQwa-TU
every_breath_you_take	84	Every Breath You Take	The Police	1983	*	https://www.youtube.com/watch?v=OMOGaugKpzs
everyday_people	145	Everyday People	Sly and the Family Stone	1968		https://www.youtube.com/watch?v=YUUhDoCx8zc
fake_plastic_trees	376	Fake Plastic Trees	Radiohead	1995	*	https://www.youtube.com/watch?v=n5h0qHwNrHk
family_affair	138	Family Affair	Sly and the Family Stone	1971		https://www.youtube.com/watch?v=MbT_ask1Cco
fast_car	165	Fast Car	Tracy Chapman	1988	*	https://www.youtube.com/watch?v=IxXO2ybSvfg
folsom_prison_blues	164	Folsom Prison Blues	Johnny Cash	1956		https://www.youtube.com/watch?v=or8hZmWN96Q
for_what_its_worth	63	For What It's Worth	Buffalo Springfield	1967		https://www.youtube.com/watch?v=gp5JCrSXkJY
fortunate_son	99	Fortunate Son	Creedence Clearwater Revival	1969		https://www.youtube.com/watch?v=ec0XKhAHR5I
foxey_lady	152	Foxey Lady	The Jimi Hendrix Experience	1965		https://www.youtube.com/watch?v=_PVjcIO4MT4
free_fallin	177	Free Fallin'	Tom Petty	1989	*	https://www.youtube.com/watch?v=1lWJXDG2i0A
georgia_on_my_mind	44	Georgia on My Miind	Ray Charles	1960		https://www.youtube.com/watch?v=-DFhuE_XeT8
gimme_shelter	38	Gimme Shelter	The Rolling Stones	1969		https://www.youtube.com/watch?v=SBva-z1AsGk
go_your_own_way	119	Go Your Own Way	Fleetwood Mac	1977		https://www.youtube.com/watch?v=ozl3L9fhKtE
god_only_knows	25	God Only Knows	The Beach Boys	1966	*	https://www.youtube.com/watch?v=lpd4jzKA4SA
god_save_the_queen	173	God Save the Queen	The Sex Pistols	1977		https://www.youtube.com/watch?v=RvMxqcgBhWQ
good_golly_miss_molly	94	"Good Golly, Miss Molly"	Little Richard	1958	*	https://www.youtube.com/watch?v=vPKDjqDflBc
good_vibrations	6	Good Vibrations	The Beach Boys	1966	*	https://www.youtube.com/watch?v=mdt0SOqPJcg
great_balls_of_fire	96	Great Balls Of Fire	Jerry Lee Lewis	1957	*	https://www.youtube.com/watch?v=BQa7wOu_I_A
hallelujah	259	Hallelujah	Jeff Buckley	1994	*	https://www.youtube.com/watch?v=y8AWFf7EAc4
heartbreak_hotel	45	Heartbreak Hotel	Elvis Presley	1956	*	https://www.youtube.com/watch?v=e9BLw4W5KU8
help	29	Help!	The Beatles	1965	*	https://www.youtube.com/watch?v=CTsB-llTzyc
heroes	46	Heroes	David Bowie	1977	*	https://www.youtube.com/watch?v=A3ol17NnBHk
hey_jude	8	Hey Jude	The Beatles	1968	*	https://www.youtube.com/watch?v=A_MjCqQoLLA
honky_tonk_women	116	Honky Tonk Women	The Rolling Stones	1969		https://www.youtube.com/watch?v=gqtJELaLG5k
hot_stuff	103	Hot Stuff	Donna Summer	1979	*	https://www.youtube.com/watch?v=AqS4aNi0HQY
hotel_california	49	Hotel California	The Eagles	1976	*	https://www.youtube.com/watch?v=nKnbty_Kdc0
hound_dog	19	Hound Dog	Elvis Presley	1956	*	https://www.youtube.com/watch?v=aNYWl13IWhY
house_of_the_rising_sun	122	House of the Rising Sun	The Animals	1964		https://www.youtube.com/watch?v=0Fy7opKu46c
i_believe_i_can_fly	406	I Believe I Can Fly	R. Kelly	1996	*	https://www.youtube.com/watch?v=GIQn8pab8Vc
i_cant_make_you_love_me	331	I Can't Make You Love Me	Bonnie Raitt	1991	*	https://www.youtube.com/watch?v=nW9Cu6GYqxo
i_cant_stop_loving_you	161	I Can't Stop Loving You	Ray Charles	1962		https://www.youtube.com/watch?v=w-YqaTDDCDM
i_fought_the_law	175	I Fought the Law	The Bobby Fuller Four	1966		https://www.youtube.com/watch?v=OgtQj8O92eI
i_got_you	78	I Got You (I Feel Good)	James Brown	1965		https://www.youtube.com/watch?v=ETNWrulIDic
i_heard_it_through_the_grapevine	80	I Heard It Through the Grapevine	Marvin Gaye	1968		https://www.youtube.com/watch?v=hajBdDM2qdg
i_only_have_eyes_for_you	157	I Only Have Eyes for You	The Flamingos	1959		https://www.youtube.com/watch?v=FvzNeh4Mq1o
i_saw_her_standing_there	139	I Saw Her Standing There	The Beatles	1964		https://www.youtube.com/watch?v=mwBdWVTR-o8
i_still_havent_found_what_im_looking_for	93	I Still Haven't Found What I'm Looking For	U2	1987	*	https://www.youtube.com/watch?v=e3-5YC_oHjE
i_walk_the_line	30	I Walk the Line	Johnny Cash	1956	*	https://www.youtube.com/watch?v=Ut34Q_tM0JM
i_wanna_be_sedated	144	I Wanna Be Sedated	The Ramones	1978		https://www.youtube.com/watch?v=bm51ihfi1p4
i_want_to_hold_your_hand	16	I Want to Hold Your Hand	The Beatles	1963	*	https://www.youtube.com/watch?v=jenWdylTtzs
i_want_you_back	120	I Want You Back	The Jackson 5	1969		https://www.youtube.com/watch?v=GP5qFx2yAtU
im_so_lonesome_i_could_cry	111	I'm So Lonesome I Could Cry	Hank Williams	1949		https://www.youtube.com/watch?v=4WXYjm74WFI
im_waiting_for_the_man	159	I'm Waiting for the Man	The Velvet Underground	1967		https://www.youtube.com/watch?v=kRIFVWQIVrg
ive_been_loving_you_too_long	110	I've Been Loving You Too Long (to Stop Now)	Otis Redding	1965		https://www.youtube.com/watch?v=qZ6OrrkeVFo
imagine	3	Imagine	John Lennon	1971	*	https://www.youtube.com/watch?v=EJ72bYyEtBg
in_bloom	407	In Bloom	Nirvana	1991	*	https://www.youtube.com/watch?v=kRY1cvrfdlg
in_my_life	23	In My Life	The Beatles	1965	*	https://www.youtube.com/watch?v=YBcdt6DsLQA
in_the_midnight_hour	134	In The Midnight Hour	Wilson Pickett	1965		https://www.youtube.com/watch?v=rixhkdO_IdU
in_the_still_of_the_night	90	In the Still of the Nite	The Five Satins	1956	*	https://www.youtube.com/watch?v=MRb1-SAAIzs
its_a_mans_mans_mans_world	123	It's a Man's Man's Man's World	James Brown	1966		https://www.youtube.com/watch?v=7rq9OvaJyRc
jailhouse_rock	67	Jailhouse Rock	Elvis Presley	1957	*	https://www.youtube.com/watch?v=MfrC8PAQtlg
johnny_b_goode	7	Johnny B. Goode	Chuck Berry	1958	*	https://www.youtube.com/watch?v=6ROwVrF0Ceg
jumpin_jack_flash	124	Jumpin' Jack Flash	The Rolling Stones	1968		https://www.youtube.com/watch?v=ruTMp4_sy1E
kashmir	140	Kashmir	Led Zeppelin	1975		https://www.youtube.com/watch?v=Zp3nCW8VkJ8
layla	27	Layla	Derek and the Dominos	1970	*	https://www.youtube.com/watch?v=uSquiIVLhrQ
let_it_be	20	Let It Be	The Beatles	1970	*	https://www.youtube.com/watch?v=nt9uBlRuBPw
lets_get_it_on	167	Let's Get It On	Marvin Gaye	1973		https://www.youtube.com/watch?v=CoOXbP7hmc0
lets_stay_together	60	Let's Stay Together	Al Green	1971	*	https://www.youtube.com/watch?v=COiIC3A0ROM
light_my_fire	35	Light My Fire	The Doors	1967		https://www.youtube.com/watch?v=EqcMAz7xQ5g
like_a_rolling_stone	1	Like a Rolling Stone	Bob Dylan	1965	*	https://www.youtube.com/watch?v=IwOfCgkyEj0
little_red_corvette	108	Little Red Corvette	Prince	1983	*	https://www.youtube.com/watch?v=v0KpfrJE4zw
living_for_the_city	104	Living for the City	Stevie Wonder	1973	*	https://www.youtube.com/watch?v=rc0XEw4m-3w
london_calling	15	London Calling	The Clash	1980	*	https://www.youtube.com/watch?v=EfK-WX2pa8c
long_tall_sally	56	Long Tall Sally	Little Richard	1956	*	https://www.youtube.com/watch?v=2OfhmVmhL7s
lose_yourself	166	Lose Yourself	Eminem	2002		https://www.youtube.com/watch?v=_Yhyp-_hX2s
loser	200	Loser	Beck	1993	*	https://www.youtube.com/watch?v=YgSPaXgAdzE
losing_my_religion	169	Losing My Religion	R.E.M.	1991	*	https://www.youtube.com/watch?v=xwtdhWltSIg
louie_louie	55	Louie Louie	The Kingsmen	1963		https://www.youtube.com/watch?v=LE07SMZtmJ4
love_and_happiness	98	Love and Happiness	Al Green	1972	*	https://www.youtube.com/watch?v=rqqAnjY2Rmo
love_will_tear_us_apart	179	Love Will Tear Us Apart	Joy Division	1980	*	https://www.youtube.com/watch?v=zuuObGsB0No
lust_for_life	147	Lust for Life	Iggy Pop	1977		https://www.youtube.com/watch?v=Y2D4S1K8HWI
maggie_may	130	Maggie May	Rod Stewart	1971		https://www.youtube.com/watch?v=EOl7dh7a-6g
maybellene	18	Maybellene	Chuck Berry	1955	*	https://www.youtube.com/watch?v=NIb-Q2xyHcc
me_and_bobby_mcgee	148	Me and Bobby McGee	Janis Joplin	1971		https://www.youtube.com/watch?v=sfjon-ZTqzU
mr_tambourine_man_dylan	106	Mr. Tambourine Man	Bob Dylan	1965		https://www.youtube.com/watch?v=oecX_1pqxk0
