**kern	**chordsym	**phrase	**mint	**deg	**phrase
*ICvox	*M4/4	*	*ICvox	*ICvox	*
*D:	*D:	*	*D:	*D:	*
*M4/4	*	*	*M4/4	*M4/4	*
*clefF4	*	*	*clefF4	*clefF4	*
r;	r	.	r	r	.
=1	=1	=1	=1	=1	=1
*	*>A_intro	*>A_intro	*	*	A_intro
1r	D:maj (D F# A)	newline	r	r	A_intro
=2	=2	=2	=2	=2	=2
1r	D:maj (D F# A)	.	r	r	A_intro
=3	=3	=3	=3	=3	=3
1r	D:maj (D F# A)	.	r	r	A_intro
=4	=4	=4	=4	=4	=4
1r	D:maj (D F# A)	.	r	r	A_intro
=5	=5	=5	=5	=5	=5
1r	D:maj (D F# A)	newline	r	r	A_intro
=6	=6	=6	=6	=6	=6
1r	A:sus4(b7) (A D E G)	.	r	r	A_intro
=7	=7	=7	=7	=7	=7
1r	B:min7 (B D F# A)	.	r	r	A_intro
=8	=8	=8	=8	=8	=8
1r	G:maj9 (G B F# A)	.	r	r	A_intro
=9	=9	=9	=9	=9	=9
1r	D:maj (D F# A)	newline	r	r	A_intro
=10	=10	=10	=10	=10	=10
1r	A:sus4(b7) (A D E G)	.	r	r	A_intro
=11	=11	=11	=11	=11	=11
1r	B:min7 (B D F# A)	.	r	r	A_intro
=12	=12	=12	=12	=12	=12
1r	G:maj9 (G B F# A)	.	r	r	A_intro
=13	=13	=13	=13	=13	=13
*	*>B_verse	*>B_verse	*	*	B_verse
2r	D:maj (D F# A)	newline	r	r	B_verse
8r	.	.	r	r	B_verse
8D	.	.	[D]	1	B_verse
8E	.	.	+M2	2	B_verse
[8F#	.	.	+M2	3	B_verse
=14	=14	=14	=14	=14	=14
4F#]	A:sus4(b7) (A D E G)	.	P1	.	B_verse
4E	.	.	-M2	2	B_verse
8D	.	.	-M2	1	B_verse
4E	.	.	+M2	2	B_verse
8E	.	.	P1	2	B_verse
=15	=15	=15	=15	=15	=15
2F#	B:min7 (B D F# A)	.	+M2	3	B_verse
8r	.	.	r	r	B_verse
8F#	.	.	P1	3	B_verse
8G	.	.	+m2	4	B_verse
