FileName	ARTIST	TITLE	Prexisting data?	Transcriber	Transcription Date	Comments	ChangesToMcGillTranscription
TheChiffons_SweetTalkinGuy_1966	The Chiffons	Sweet Talkin' Guy	""	Jonathan	2019-xx-xx	""	""
TheKinks_TillTheEndOfTheDay_1966	The Kinks	Till The End Of The Day	midi	Jonathan	2019-xx-xx	""	""
Donovan_SunshineSuperman_1966	Donovan	Sunshine Superman	midi	Jonathan	2019-xx-xx	""	""
EricCarmen_Sunrise_1976	Eric Carmen	Sunrise	""	Jonathan	2019-xx-xx	""	""
NeilSedaka_BreakingUpIsHardToDo_1976	Neil Sedaka	Breaking Up Is Hard To Do	midi	Jonathan	2019-xx-xx	""	""
GeorgeBenson_Breezin_1976	George Benson	Breezin'	midi	Jonathan	2019-xx-xx	""	""
DrHook_WalkRightIn_1977	Dr. Hook	Walk Right In	""	Jonathan	2019-xx-xx	""	""
TheKendalls_HeavensJustASinAway_1977	The Kendalls	Heaven's Just A Sin Away	midi	Jonathan	2019-xx-xx	""	""
TeddyPendergrass_IDontLoveYouAnymore_1977	Teddy Pendergrass	I Don't Love You Anymore	""	Jonathan	2019-xx-xx	""	""
DarylHallAndJohnOates_KissOnMyList_1981	Daryl Hall & John Oates	Kiss On My List	""	Jonathan	2019-xx-xx	""	""
Commodores_Lady_1981	Commodores	Lady (You Bring Me Up)	""	Jonathan	2019-xx-xx	""	""
OakRidgeBoys_Elvira_1981	Oak Ridge Boys	Elvira	midi	Jonathan	2019-xx-xx	""	""
AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	""	Jonathan	2019-xx-xx	""	""
Heart_CrazyOnYou_1978	Heart	Crazy On You	midi	Jonathan	2019-xx-xx	""	""
DonnaSummer_LastDance_1978	Donna Summer	Last Dance	midi	Jonathan	2019-xx-xx	""	""
JoniMitchell_BabyIDontCare_1982	Joni Mitchell	(You're So Square) Baby I Don't Care	midi	Jonathan	2019-xx-xx	""	""
