FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
OtisRedding_TheDockOfTheBay_1968	28	(Sittin' on) the Dock of the Bay	Otis Redding	1968	TRUE	TRUE	https://www.youtube.com/watch?v=rTVjnBo96Ug
BillHaley_RockAroundTheClock_1954	158	(We're Gonna) Rock Around the Clock	Bill Haley and His Comets	1954	FALSE	FALSE	https://www.youtube.com/watch?v=ZgdufzXvjqw
Prince_1999_1982	212	1999	Prince	1982	TRUE	TRUE	https://www.youtube.com/watch?v=rblt2EtFfC4
SamCooke_AChangeIsGonnaCome_1964	12	A Change Is Gonna Come	Sam Cooke	1964	TRUE	FALSE	https://www.youtube.com/watch?v=wEBlaMOmKV4
TheBeatles_ADayInTheLife_1967	26	A Day in the Life	The Beatles	1967	TRUE	TRUE	https://www.youtube.com/watch?v=usNsCeOV4GM
TheBeatles_AHardDaysNight_1964	153	A Hard Day's Night	The Beatles	1964	FALSE	FALSE	https://www.youtube.com/watch?v=Yjyj8qnqkYI
ProcolHarum_AWhiterShadeOfPale_1967	57	A Whiter Shade of Pale	Procol Harum	1967	FALSE	FALSE	https://www.youtube.com/watch?v=_BADDeIQWVQ
TheJimiHendrixExperience_AllAlongTheWatchtower_1968	48	All Along the Watchtower	The Jimi Hendrix Experience	1968	FALSE	FALSE	https://www.youtube.com/watch?v=TLV4_xaYynY
Nirvana_AllApologies_1993	455	All Apologies	Nirvana	1993	TRUE	TRUE	https://www.youtube.com/watch?v=fUYXpnl-dKw
TheEverlyBrothers_AllIHaveToDoIsDream_1958	141	All I Have to Do Is Dream	The Everly Brothers	1958	FALSE	FALSE	https://www.youtube.com/watch?v=tbU3zdAgiX8
SexPistols_AnarchyInTheUK_1977	53	Anarchy in the U.K.	Sex Pistols	1977	TRUE	TRUE	https://www.youtube.com/watch?v=cBojbjoMttI
ACDC_BackInBlack_1980	187	Back in Black	AC/DC	1980	TRUE	TRUE	https://www.youtube.com/watch?v=pAgnJDJN4VA
TheRonettes_BeMyBaby_1963	22	Be My Baby	The Ronettes	1963	TRUE	TRUE	https://www.youtube.com/watch?v=NnWOBMQhNBQ
GeneVincent_BeBopALula_1956	102	Be-Bop-A-Lula	Gene Vincent	1956	FALSE	FALSE	https://www.youtube.com/watch?v=ZWFlLYZm0tA
MichaelJackson_BillieJean_1983	58	Billie Jean	Michael Jackson	1983	TRUE	TRUE	https://www.youtube.com/watch?v=kM5ywtImaSs
TheVerve_BitterSweetSymphony_1997	382	Bitter Sweet Symphony	The Verve	1997	TRUE	TRUE	https://www.youtube.com/watch?v=1lyu1KKwC74
NewOrder_BizarreLoveTriangle_1986	201	Bizarre Love Triangle	New Order	1986	TRUE	TRUE	https://www.youtube.com/watch?v=tkOr12AQpnU
TheRamones_BlitzkriegBop_1976	92	Blitzkrieg Bop	The Ramones	1976	TRUE	TRUE	https://www.youtube.com/watch?v=nKyFpJ3M1xM
BobDylan_BlowinInTheWind_1963	14	Blowin' in the Wind	Bob Dylan	1963	TRUE	TRUE	https://www.youtube.com/watch?v=vWwgrjjIMXA
CarlPerkins_BlueSuedeShoes_1956	95	Blue Suede Shoes	Carl Perkins	1956	TRUE	FALSE	https://www.youtube.com/watch?v=DRNyvO4QouY
FatsDomino_BlueberryHill_1956	81	Blueberry Hill	Fats Domino	1956	TRUE	FALSE	https://www.youtube.com/watch?v=Pm4l43exh2M
BoDiddley_BoDiddley_1955	62	Bo Diddley	Bo Diddley	1955	TRUE	TRUE	https://www.youtube.com/watch?v=dLcYuuljrD4
Queen_BohemianRhapsody_1975	163	Bohemian Rhapsody	Queen	1975	FALSE	FALSE	https://www.youtube.com/watch?v=M-9ERM0Jr4U
Steppenwolf_BornToBeWild_1968	129	Born To Be Wild	Steppenwolf	1968	FALSE	FALSE	https://www.youtube.com/watch?v=mLhpXUtxS1c
BruceSpringsteen_BornToRun_1975	21	Born to Run	Bruce Springsteen	1975	TRUE	TRUE	https://www.youtube.com/watch?v=IxuThNgl3YA
JoniMitchell_BothSidesNow_1969	170	Both Sides Now	Joni Mitchell	1969	FALSE	FALSE	https://www.youtube.com/watch?v=Pbn6a0AFfnM
SimonAndGarfunkel_BridgeOverTroubledWater_1970	47	Bridge over Troubled Water	Simon and Garfunkel	1970	TRUE	TRUE	https://www.youtube.com/watch?v=4G-YQA_bsOU
