ARTIST	TITLE	Sample ID#	Chart Date	Target Rank	Actual Rank	Peak Rank	Weeks on Chart	
A Taste Of Honey	Sukiyaki	1286	1981-04-25	31	30	3	24	
Aaron Neville	Tell It Like It Is	691	1966-12-10	52	51	2	14	
Abba	Chiquitita	183	1979-12-15	34	35	29	12	
Abba	Fernando	218	1976-10-09	26	24	13	16	
Abba	Honey, Honey	902	1974-09-21	73	72	27	10	
Abba	Knowing Me, Knowing You	231	1977-07-02	23	24	14	15	
Abba	On And On And On	894	1981-07-04	91	91	90	6	
Abba	Take A Chance On Me	961	1978-05-06	32	30	3	18	
Aerosmith	Last Child	15	1976-08-07	21	21	21	15	
Al Green	Oh Me, Oh My (Dreams In My Arms)	573	1975-07-19	59	59	48	6	
Alabama	Take Me Down	1082	1982-07-17	19	18	18	13	
Alan O'Day	Undercover Angel	367	1977-08-27	31	31	1	25	
Alice Cooper	Hey Stoopid	599	1991-07-27	99	99	78	5	
Alice Cooper	School's Out	195	1972-07-29	8	7	7	13	
Andy Gibb	Shadow Dancing	193	1978-09-30	96	96	1	25	
Andy Gibb	Shadow Dancing	737	1978-09-02	52	50	1	25	
Anita Baker	Caught Up In The Rapture	647	1987-03-21	85	85	37	18	
Anita Baker	Caught Up In The Rapture	709	1987-02-28	56	56	37	18	
Anita Baker	Giving You The Best That I Got	578	1989-01-21	27	27	3	22	
Anita Baker	Sweet Love	837	1986-09-13	37	35	8	22	
Ann Peebles	I Can't Stand The Rain	377	1973-09-22	68	70	38	21	
Anne Murray	Could I Have This Dance	199	1980-10-11	40	41	33	14	
Anne Murray	Daydream Believer	312	1980-04-12	69	69	12	17	
Anne Murray	Daydream Believer	475	1980-01-05	56	56	12	17	
Anne Murray	Love Song	917	1974-01-05	62	60	12	17	
Aretha Franklin	Chain Of Fools	418	1967-12-23	16	17	2	12	
Aretha Franklin	I Never Loved A Man (The Way I Love You)	403	1967-05-13	32	32	9	11	
Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	1042	1972-01-22	75	75	73	4	
Arthur Conley	Sweet Soul Music	965	1967-03-25	45	45	2	15	
B.B. King	How Blue Can You Get	510	1964-03-28	96	97	97	2	
B.B. King	The Thrill Is Gone	605	1970-03-28	45	44	15	14	
B.J. Thomas	Hooked On A Feeling	1048	1968-12-14	22	23	5	16	
Bachman-Turner Overdrive	Heartaches	699	1979-03-10	81	82	60	7	
Bachman-Turner Overdrive	Roll On Down The Highway	351	1975-01-25	55	55	14	11	
Bad Company	Rock 'N' Roll Fantasy	27	1979-07-07	41	41	13	20	
Badfinger	Maybe Tomorrow	723	1969-03-15	67	67	67	6	
Baltimora	"Tarzan Boy (from the film ""Teenage Mutant Ninja Turtles III"")"	572	1986-01-18	39	38	13	38	
Baltimora	"Tarzan Boy (from the film ""Teenage Mutant Ninja Turtles III"")"	600	1985-12-21	54	52	13	38	
Bananarama	A Trick Of The Night	99	1987-01-31	88	86	76	7	
Bananarama	Venus	981	1986-11-01	97	99	1	19	
Barbara Lewis	Hello Stranger	984	1963-07-06	4	4	3	14	
Barbra Streisand	Funny Girl	1118	1964-10-10	47	45	44	9	
Barbra Streisand	People	49	1964-08-08	36	36	5	19	
Barry White	You're The First, The Last, My Everything	796	1974-11-23	29	27	2	15	
Bay City Rollers	Saturday Night	1228	1975-12-13	5	5	1	17	
Beastie Boys	Brass Monkey	634	1987-04-25	47	48	48	10	
Ben E. King	Amor	583	1961-08-07	57	58	18	10	
Bertha Tillman	Oh My Angel	511	1962-06-09	61	61	61	9	
Bette Midler	The Rose	6	1980-08-02	15	16	3	25	
Bette Midler	The Rose	1271	1980-07-05	3	3	3	25	
Bill Withers	Ain't No Sunshine	1058	1971-08-21	24	23	3	16	
Bill Withers	Lovely Day	823	1978-02-25	77	79	30	12	
Billy Idol	Catch My Fall	794	1985-01-12	90	88	50	11	
Billy Idol	Flesh For Fantasy	464	1984-09-15	39	39	29	12	
Billy Idol	Hot In The City	920	1982-09-25	23	23	23	27	
Billy Idol	Rebel Yell	1167	1984-04-07	61	61	46	14	
Billy Idol	White Wedding	701	1983-07-23	54	55	36	13	
Billy Idol	White Wedding	1296	1983-07-02	34	36	36	13	
Billy Joel	An Innocent Man	10	1984-03-24	49	51	10	18	
Billy Joel	Don't Ask Me Why	969	1980-10-18	58	57	19	15	
Billy Joel	Just The Way You Are	240	1978-01-14	14	16	3	27	
Billy Joel	Just The Way You Are	295	1978-04-29	91	92	3	27	
Billy Joel	Pressure	205	1983-01-15	94	93	20	17	
Billy Preston	With You I'm Born Again	540	1979-12-22	93	92	4	29	
Billy Squier	Don't Say You Love Me	452	1989-07-15	65	64	58	15	
Billy Squier	My Kinda Lover	1051	1982-01-09	46	46	45	10	
Billy Squier	The Stroke	963	1981-05-16	82	84	17	20	
Billy Swan	I Can Help	601	1974-09-28	88	90	1	18	
Billy Swan	I Can Help	1093	1974-11-30	1	1	1	18	
Bing Crosby	Silent Night	123	1960-12-19	64	64	54	2	
Bing Crosby	White Christmas	241	1962-12-29	40	38	12	13	
Biz Markie	Just A Friend	827	1990-02-10	28	29	9	22	
Blondie	Island Of Lost Souls	1203	1982-07-31	96	95	37	10	
Blondie	One Way Or Another	743	1979-06-16	48	47	24	14	
Blue Cheer	Summertime Blues	1170	1968-05-25	32	33	14	13	
Bo Diddley	You Can't Judge A Book By The Cover	179	1962-09-01	67	66	48	10	
Bob Dylan	Gotta Serve Somebody	282	1979-10-06	41	39	24	12	
Bob Seger	Against The Wind	1177	1980-07-05	6	6	5	17	
Bob Seger	American Storm	1277	1986-05-24	37	36	13	14	
Bob Seger	Even Now	1208	1983-03-19	52	50	12	12	
Bob Seger	Like A Rock	941	1986-08-16	93	91	12	13	
Bob Seger	Night Moves	1171	1977-03-19	4	4	4	21	
Bob Seger	Old Time Rock & Roll	249	1979-05-19	32	30	28	18	
Bob Seger	Rock And Roll Never Forgets	1071	1977-08-06	44	43	41	8	
Bob Seger	Tryin' To Live My Life Without You	830	1981-10-24	11	11	5	19	
Bobbi Martin	I Love You So	56	1965-06-19	72	74	70	7	
Bobbie Gentry	Ode To Billie Joe	1168	1976-07-24	75	77	1	20	
Bobby Bare	Detroit City	133	1963-07-20	24	24	16	12	
Bobby Darin	If I Were A Carpenter	1265	1966-10-01	51	51	8	11	
Bobby Womack	Sweet Caroline (Good Times Never Seemed So Good)	915	1972-09-09	63	63	51	9	
Bobby Womack	That's The Way I Feel About Cha	297	1971-12-18	72	71	27	13	
Bonnie Pointer	Heaven Must Have Sent You	1232	1979-11-03	29	28	11	23	
Bonnie Raitt	Nick Of Time	627	1990-05-26	91	92	92	3	
Boston	Amanda	1234	1986-12-13	24	24	1	18	
Boston	Feelin' Satisfied	952	1979-03-31	66	65	46	7	
Boyz II Men	Motownphilly	97	1991-08-10	14	14	3	24	
Bread	If	106	1971-06-05	18	18	4	12	
Bread	If	988	1971-06-05	17	18	4	12	
Bread	Sweet Surrender	847	1972-11-11	55	55	15	11	
Brenda Lee	All Alone Am I	1253	1962-10-20	15	15	3	15	
Brenda Lee	As Usual	288	1964-02-15	32	34	12	11	
Brenda Lee	As Usual	471	1964-01-04	15	14	12	11	
Brenda Lee	Coming On Strong	968	1966-10-29	29	31	11	13	
Brenda Lee	Dum Dum	356	1961-07-03	21	20	4	12	
Brenda Lee	Everybody Loves Me But You	790	1962-06-16	21	21	6	11	
Brenda Lee	Heart In Hand	484	1962-07-07	65	65	15	8	
Brenda Lee	Losing You	371	1963-06-29	40	41	6	13	
Brenda Lee	Sweet Nothin's	162	1960-01-04	77	79	4	24	
Brenda Lee	Too Many Rivers	696	1965-06-05	76	78	13	13	
Brother Jack McDuff	Theme From Electric Surfboard	251	1969-12-27	97	95	95	2	
Brownsville Station	Smokin' In The Boy's Room	256	1973-11-03	95	93	3	19	
Brownsville Station	Smokin' In The Boy's Room	755	1973-11-24	49	51	3	19	
Bruce Channel	Hey! Baby	789	1962-04-28	40	40	1	14	
Bruce Springsteen	I m Goin  Down	426	1985-11-09	32	32	9	13	
Bruce Springsteen	My Hometown	1066	1985-12-14	44	44	6	15	
Buck Owens	I've Got A Tiger By The Tail	1225	1965-01-23	84	85	25	9	
Buck Owens	Think Of Me	1154	1966-05-28	99	99	74	5	
Candi Staton	Young Hearts Run Free	390	1976-06-26	38	40	20	16	
Candi Staton	Young Hearts Run Free	522	1976-08-21	20	20	20	16	
Canned Heat	Let's Work Together	577	1970-10-10	85	84	26	11	
Canned Heat	On The Road Again	688	1968-08-24	70	72	16	11	
Carl Carlton	Everlasting Love	607	1974-12-21	50	49	6	15	
Charlie Rich	A Very Special Love Song	779	1974-03-02	50	51	11	14	
Charlie Rich	Behind Closed Doors	1218	1973-06-30	20	20	15	19	
Charlie Rich	Lonely Weekends	1113	1960-07-11	66	65	22	21	
Charlie Rich	Lonely Weekends	1123	1960-06-27	34	34	22	21	
Cheap Trick	Dream Police	317	1979-11-10	28	29	26	10	
Cheap Trick	Dream Police	323	1979-11-17	27	27	26	10	
Cheap Trick	I Want You To Want Me	188	1979-07-28	7	7	7	19	
Cheap Trick	Stop This Game	539	1980-12-06	48	48	48	12	
Cheap Trick	Surrender	555	1978-08-12	70	69	62	8	
Cheap Trick	Surrender	1022	1978-09-09	90	92	62	8	
Cher	If I Could Turn Back Time	843	1989-11-11	45	47	3	23	
Cher	Just Like Jesse James	821	1989-12-30	7	8	8	18	
Chicago	25 Or 6 To 4	176	1970-08-08	26	27	4	20	
Chicago	25 Or 6 To 4	292	1970-08-29	10	10	4	20	
Chicago	25 Or 6 To 4	1227	1970-09-05	5	6	4	20	
Chicago	Alive Again	1240	1978-11-18	17	17	14	13	
Chicago	Along Comes A Woman	198	1985-03-16	36	36	14	16	
Chicago	Along Comes A Woman	574	1985-05-11	34	34	14	16	
Chicago	Along Comes A Woman	776	1985-04-20	16	14	14	16	
Chicago	Another Rainy Day In New York City	208	1976-08-21	65	67	32	9	
Chicago	Does Anybody Really Know What Time It Is?	700	1970-11-07	74	72	7	13	
Chicago	Feelin' Stronger Every Day	366	1973-08-25	9	11	10	16	
Chicago	Feelin' Stronger Every Day	684	1973-08-11	11	11	10	16	
Chicago	Make Me Smile	1085	1970-06-06	9	9	9	14	
Chicago	Old Days	445	1975-05-03	43	43	5	11	
Chico DeBarge	Talk To Me	590	1987-02-07	23	23	21	20	
Chris Kenner	Land Of 1000 Dances	1111	1963-08-17	99	98	77	7	
Chubby Checker	The Twist	948	1962-03-17	25	24	1	38	
Chubby Checker	The Twist	1103	1962-03-24	31	32	1	38	
Chuck Berry	Almost Grown	792	1959-06-01	38	40	32	12	
Chuck Berry	Reelin' & Rockin'	1110	1972-12-09	79	77	27	13	
Chuck Berry	Sweet Little Rock And Roll	115	1958-12-29	52	52	47	9	
Clarence Carter	Patches	276	1970-10-17	25	24	4	14	
Clarence Carter	Too Weak To Fight	585	1968-12-07	30	28	13	15	
Clarence Carter	Too Weak To Fight	765	1969-02-01	33	33	13	15	
